Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
United States,2020,1,1/4/2020,60171,55014,845,11568,1828,2531,1560,3502,1066,1095,649,14199,3109,1,1,,,,,,,,,,,,,,,
United States,2020,2,1/11/2020,60735,55746,863,11960,1942,2565,1529,3709,1036,1093,656,13910,3187,0,0,,,,,,,,,,,,,,,
United States,2020,3,1/18/2020,59353,54520,830,11704,1819,2490,1485,3525,993,1123,633,13588,3258,2,1,,,,,,,,,,,,,,,
United States,2020,4,1/25/2020,59153,54396,830,11879,1861,2515,1488,3400,978,1109,663,13605,3183,2,1,,,,,,,,,,,,,,,
United States,2020,5,2/1/2020,58822,53998,813,11961,1827,2477,1416,3313,980,1073,636,13464,3082,0,0,,,,,,,,,,,,,,,
United States,2020,6,2/8/2020,59475,54411,812,11707,1955,2513,1464,3412,974,1136,629,14002,3055,2,1,,,,,,,,,,,,,,,
United States,2020,7,2/15/2020,58799,53959,796,11809,1842,2535,1515,3479,978,1070,637,13637,3086,0,0,,,,,,,,,,,,,,,
United States,2020,8,2/22/2020,58893,53980,782,11781,1879,2515,1462,3451,968,1057,628,13627,3081,5,5,,,,,,,,,,,,,,,
United States,2020,9,2/29/2020,59316,54310,821,11790,1830,2519,1507,3458,1010,1092,700,13708,3125,9,9,,,,,,,,,,,,,,,
United States,2020,10,3/7/2020,59684,54385,815,11713,1861,2508,1611,3468,1004,1072,679,13680,3094,37,33,,,,,,,,,,,,,,,
United States,2020,11,3/14/2020,58667,53532,759,11572,1743,2441,1639,3390,993,1077,671,13437,3165,57,53,,,,,,,,,,,,,,,
United States,2020,12,3/21/2020,59226,54315,844,11737,1833,2511,1748,3384,1019,1104,649,13200,3067,577,540,,,,,,,,,,,,,,,
United States,2020,13,3/28/2020,63007,58229,853,11783,2044,2746,1793,3517,1063,1029,662,13707,3062,3186,3010,,,,,,,,,,,,,,,
United States,2020,14,4/4/2020,72284,67434,953,11595,2296,2868,1865,3537,1029,1036,728,14950,3164,10097,9603,,,,,,,,,,,,,,,
United States,2020,15,4/11/2020,79112,74026,836,11554,2355,2960,1634,3443,1025,1124,703,15774,3191,16272,15466,,,,,,,,,,,,,,,
United States,2020,16,4/18/2020,76794,71892,750,11203,2269,2900,1255,3192,923,1097,706,14575,3206,17139,16241,,,,,,,,,,,,,,,
United States,2020,17,4/25/2020,73904,68754,740,11362,2084,2803,1156,2996,891,986,723,13873,3059,15510,14617,,,,,,,,,,,,,,,
United States,2020,18,5/2/2020,69291,63943,743,11097,1931,2726,1014,2927,852,962,599,12998,3042,13199,12416,,,,,,,,,,,,,,,
United States,2020,19,5/9/2020,66805,61186,721,11015,1968,2493,866,2803,860,938,648,13166,2850,11220,10447,,,,,,,,,,,,,,,
United States,2020,20,5/16/2020,64461,58997,682,11270,1965,2430,865,2770,788,978,611,12734,2960,9210,8467,,,,,,,,,,,,,,,
United States,2020,21,5/23/2020,61624,56026,716,11116,1833,2418,808,2678,751,921,625,12779,2824,7228,6571,,,,,,,,,,,,,,,
United States,2020,22,5/30/2020,59661,54000,654,10903,1812,2260,757,2633,762,892,625,12452,2855,6158,5579,,,,,,,,,,,,,,,
United States,2020,23,6/6/2020,58877,52949,734,11081,1723,2304,704,2561,779,905,614,12463,2793,5037,4500,,,,,,,,,,,,,,,
United States,2020,24,6/13/2020,58013,52301,693,11131,1740,2327,699,2502,737,925,649,12405,2841,4224,3724,,,,,,,,,,,,,,,
United States,2020,25,6/20/2020,57984,52239,686,11154,1788,2360,757,2565,761,931,679,12402,2924,3835,3346,,,,,,,,,,,,,,,
United States,2020,26,6/27/2020,58486,52666,719,11358,1767,2288,726,2537,776,952,634,12511,2959,3828,3319,,,,,,,,,,,,,,,
United States,2020,27,7/4/2020,59798,53812,687,11298,1929,2359,657,2624,780,987,664,12855,2830,4531,4035,,,,,,,,,,,,,,,
United States,2020,28,7/11/2020,61912,55865,766,11322,1953,2469,741,2613,751,918,744,13016,2920,5767,5223,,,,,,,,,,,,,,,
United States,2020,29,7/18/2020,63147,57167,711,11375,1888,2499,769,2644,711,986,753,12855,2983,7174,6512,,,,,,,,,,,,,,,
United States,2020,30,7/25/2020,64225,58416,690,11556,1954,2509,785,2560,733,968,756,12924,2911,8213,7498,,,,,,,,,,,,,,,
United States,2020,31,8/1/2020,64217,58310,694,11510,1985,2500,761,2733,782,960,730,12822,2988,8292,7601,,,,,,,,,,,,,,,
United States,2020,32,8/8/2020,63710,57871,787,11531,1799,2435,780,2592,730,912,750,12811,3035,7849,7169,,,,,,,,,,,,,,,
United States,2020,33,8/15/2020,63620,57796,739,11702,1894,2528,757,2655,798,969,740,12844,2947,7234,6545,,,,,,,,,,,,,,,
United States,2020,34,8/22/2020,62531,56625,739,11514,1933,2565,697,2640,783,968,712,12755,2930,6361,5736,,,,,,,,,,,,,,,
United States,2020,35,8/29/2020,61067,55362,726,11576,1879,2430,681,2560,746,984,719,12468,2988,5716,5124,,,,,,,,,,,,,,,
United States,2020,36,9/5/2020,60210,54276,705,11374,1835,2505,738,2550,801,928,665,12497,2862,4998,4416,,,,,,,,,,,,,,,
United States,2020,37,9/12/2020,59622,53972,699,11461,1890,2328,682,2559,745,929,705,12347,3045,4608,4069,,,,,,,,,,,,,,,
United States,2020,38,9/19/2020,59685,54154,751,11622,1856,2371,721,2516,781,920,723,12672,2948,4256,3750,,,,,,,,,,,,,,,
United States,2020,39,9/26/2020,60584,55094,768,11864,1840,2500,724,2670,790,925,687,12703,3077,4279,3774,,,,,,,,,,,,,,,
United States,2020,40,10/3/2020,59737,54124,726,11417,1891,2413,766,2576,718,944,772,12621,2876,4220,3678,,,,,,,,,,,,,,,
United States,2020,41,10/10/2020,61662,55909,761,11815,1895,2513,724,2612,799,958,743,12767,3118,4796,4258,,,,,,,,,,,,,,,
United States,2020,42,10/17/2020,60489,55159,779,11294,1830,2532,726,2590,816,1020,742,12547,3024,5162,4570,,,,,,,,,,,,,,,
United States,2020,43,10/24/2020,62016,56792,732,11650,1823,2563,767,2694,795,939,749,12823,3074,5947,5288,,,,,,,,,,,,,,,
United States,2020,44,10/31/2020,63235,57982,701,11497,1934,2454,798,2563,827,924,705,13107,3095,6978,6219,,,,,,,,,,,,,,,
United States,2020,45,11/7/2020,67386,61688,770,11778,1956,2653,808,2889,815,1028,848,13605,3153,8710,7807,,,,,,,,,,,,,,,
United States,2020,46,11/14/2020,68561,63103,795,11686,2015,2732,852,2737,857,1025,780,13389,3162,10572,9524,,,,,,,,,,,,,,,
United States,2020,47,11/21/2020,71067,65833,815,11545,2101,2634,834,2796,853,1027,869,13507,3170,13247,11980,,,,,,,,,,,,,,,
United States,2020,48,11/28/2020,72670,67478,768,11285,2128,2743,810,2732,851,1038,899,13406,3098,15486,14020,,,,,,,,,,,,,,,
United States,2020,49,12/5/2020,76885,71668,844,11270,2180,2831,915,2809,911,1028,951,14183,3285,18444,16758,,,,,,,,,,,,,,,
United States,2020,50,12/12/2020,81382,76086,823,11817,2274,2920,951,3009,977,1075,1032,14373,3456,20804,18965,,,,,,,,,,,,,,,
United States,2020,51,12/19/2020,82235,77112,829,11698,2322,3036,947,2923,913,1008,1033,14602,3432,22160,20281,,,,,,,,,,,,,,,
United States,2020,52,12/26/2020,83458,78161,855,11552,2302,2961,967,2826,917,1112,1117,14638,3350,23150,21173,,,,,,,,,,,,,,,
United States,2020,53,1/2/2021,85362,79916,878,11462,2385,3018,1009,3000,895,1090,1198,14913,3436,24343,22282,,,,,,,,,,,,,,,
